"wallet";"best_score";"checkins_from_contract_state";"checkins_from_daily_events";"last_event_total_count";"checkin_state_matches_events";"last_checkin_state_utc";"first_daily_event_utc";"last_daily_event_utc";"is_owner_wallet";"daily_event_txs"
"0xEb45918A1efC99C84Fa337E36A2F84317a9DE1b8";"27143";"20";"19";"20";"yes";"2026-05-30 06:38:09";"2026-04-16 18:20:01";"2026-05-30 06:38:09";"yes";"0x885f1d63999bb8b72efad748335dd84981a072afcafd7d0330d2227aed709f9c | 0x71bee6b6862b8c5579d4c1bd6a772e483f8d174fa9a9e38ff8345645708b5fd0 | 0xf112611a08168c729efea2b6281d7a8cbede2bf071c97b1f817bedf6379ffc81 | 0x8040ee6d8ffb2fd808108fc16ca20ad969590d902735f77018071778fe999694 | 0x59f5a54ca52d2fd21cf4110a712931a74330c4d8452cb7c3bb68f3883d34c06d | 0x49dbfd49f099f586f89c0c723133daa6b09cd5df41f77ef1079678ad8d65f70f | 0xc986179f574839dd48d68b5a3a2ed5679046e2ccc38c2affe0195b699b41e64a | 0x32854db729ce28eb804696eb5147e904baaaecae1a043f921221d333294e7934 | 0x5dad37fc0030072e337b57556f6ae8abbcef5470c11621d2092f691639a37db2 | 0x9f7c7f4b614f73684a3411689e5b4b2fae08b5678786a3555a76b0cbf80d3ec7 | 0x343233c06712ab82e4f39842cb4a06e529454e1f5b6d9436591feabaae4e8e80 | 0xe787eec3f8fdd0b2fa5a190ae9a1976586d3d8df488c0b52c911efc78ad0a997 | 0x3697bf9dc36dfe6a8222bd54374a0e3e38349711146a7193bf83207b566803bd | 0x5e8b1d43b0606943bc53b9704322241109fbe52089bdab228d73804d171f1645 | 0x90ba03fd71d0ef13022b71c8b492257dc1c6a4a1b5e8979ca8b2364154fec14f | 0xd14f2f04ee8e22c469d036db2cceed3bd6c8602e70df7ab14960ad71281080fb | 0x720988f0e30ce108ad6226fc4f4cefcf63f4cd715d51ac98f3c476a8115f1ec4 | 0x32bfb0c04f914c41ff434ac1b20b760c80274b584a7dd4d5ddecefbe10cb6931 | 0x2cf547f7650f40518417a2f16bbd1ea395a7064a6e338691059a7067d63f868e"
"0x190063686cC52839e16c54f1789a86eA41ee52f4";"22745";"2";"2";"2";"yes";"2026-05-18 06:54:21";"2026-04-20 14:15:33";"2026-05-18 06:54:21";"yes";"0x34c160152ef4bd7e754cabe891d3aab7e637a5a15c88be63e854f0bd777e6af1 | 0xc2a62f9ddd207f80f2cdc8a890b9db07b774f182952f7cf303a35515639c6c58"
"0xCdbFDbf585A2045620B64615B3b6Cf026049830C";"1713";"0";"0";"";"yes";"";"";"";"no";""
"0x38321a377d38748d0Bf7cd2106B0DaC67016Ad4e";"708";"0";"0";"";"yes";"";"";"";"no";""
"0xBC57eb3b787aa22FD1fb9d8BA8314e6C66863439";"504";"1";"1";"1";"yes";"2026-05-04 09:34:07";"2026-05-04 09:34:07";"2026-05-04 09:34:07";"no";"0x29cad586ce050b76b4f80d39bf698a616815310666b3fe04dbf0e39fdf871db8"
"0x7b8a60B83f8a03C972B05291af0Fb10ef61B0600";"31290";"1";"1";"1";"yes";"2026-05-29 04:23:43";"2026-05-29 04:23:43";"2026-05-29 04:23:43";"no";"0x4f1e52b5a47ebe61cef035fcf24dc6d2a7ba45ed415c87c0799cc4a2252cb559"
"0x34072c93e013A4d7De0F0EC6555215130A0A1f1f";"30964";"1";"1";"1";"yes";"2026-05-29 11:23:15";"2026-05-29 11:23:15";"2026-05-29 11:23:15";"no";"0xc3a66fff233ab3731b58b70c480b884c7e34a006fa2b5b1b700236e72806e7e1"
"0x1c87c9B1a1776B60CD1ADa594901Ad86e69A225d";"33996";"1";"1";"1";"yes";"2026-05-29 11:43:11";"2026-05-29 11:43:11";"2026-05-29 11:43:11";"no";"0xba9b2cd6cd57c59d9a26e857c2f83836a01eedcceaa5ca7d3389e35d0bbbc0ff"
"0x8fF986A12c978f02ec620a5B783D9ccC71EAb6d9";"32093";"2";"2";"2";"yes";"2026-05-29 12:02:13";"2026-05-15 12:28:57";"2026-05-29 12:02:13";"no";"0x153f8142c09e06c8f8f97b65006e36c9e5441840be999bf9e7cdf035317b03eb | 0x209adefb2715095d5d28e8fe0fc911e41369b1fa44281880c946eba2c8def27d"
"0xeC2403e5d34c2E816eFe58b5eE62B402f4A18ACF";"1051";"0";"0";"";"yes";"";"";"";"no";""
"0xe256AC110DEF893a3216826aAC03ac565e64Cd40";"21547";"5";"5";"5";"yes";"2026-05-26 06:31:57";"2026-05-16 06:31:27";"2026-05-26 06:31:57";"yes";"0x8bbed27056196e1c91030f480e0350c5c935a860ea8efdf04480918dad2400e4 | 0x3b546fe11cac82379c374211db799c897094425898e2918ae4ed9054fd989db5 | 0xa5d473b67ebbd363280bc0cc0c8e99fb80cd7d9b81fa8c6aa91a443a1e7fa4b0 | 0x2819dbf786fb7948beb7aabe418d1b51601c6bfca9a573fafa9545c9ab327c77 | 0x3114253278ec98430dadb600c0e343636c74a892415aeea92d6c7cabca22a874"
"0x203e47aAccE98a0Dc2cd1aa78227002F89FC72b9";"32835";"2";"2";"2";"yes";"2026-05-29 12:20:15";"2026-05-16 11:07:37";"2026-05-29 12:20:15";"no";"0x94dcf7a0b42d3d4e852c0f2793a494e8fc042c0ce3bfeb8bc0c51ab5912f0caf | 0xcf5e4de42ea359314ca6a03a4ca084f685cd1c8cc3a1db26b62cecff23d3d551"
"0x6ADEC666fcc7462a4b12E97928AC39a9DdbA93DF";"3225";"1";"1";"1";"yes";"2026-05-18 12:38:17";"2026-05-18 12:38:17";"2026-05-18 12:38:17";"no";"0xcd1d398d0fccf53ffb112d5b087a03ca8d5bab09de402f40bae742a476974036"
"0x0345C0f94BfBb60f56340B64cf8b1FE613eaf4f6";"1203";"0";"0";"";"yes";"";"";"";"no";""
"0x5cb26DBa85549163f851e19d24413273fb4493ac";"730";"0";"0";"";"yes";"";"";"";"no";""
"0x2db903ca511DCceF2D05B981cFF896785571CCEE";"32818";"2";"2";"2";"yes";"2026-05-30 06:19:45";"2026-05-26 12:45:33";"2026-05-30 06:19:45";"yes";"0x231d351d958a32a573ca22cfd77df6b7f8988b6b77c7136ab0d43730074b7f24 | 0x32d93326b72d16dcbdf8f30fb78221a2e8004ba0d31aa8d51f3945ad7cb2542d"
"0x7b67A29d1e9Fd5105bd75968d4Df22b6c543a444";"1395";"1";"1";"1";"yes";"2026-05-26 13:26:57";"2026-05-26 13:26:57";"2026-05-26 13:26:57";"no";"0x81e6e1b0885fd2b2bc9a8eda77d4a0f070be313b52474e779572662505eda51b"
"0x7EB0A796167694236044938DD63aFA7D0f8B0117";"742";"0";"0";"";"yes";"";"";"";"no";""
"0xa5e0938e000a3f6a78f178610b0eA3EbE4ef4243";"584";"0";"0";"";"yes";"";"";"";"no";""
"0x7b92e59b2de9368e71843F9894eD63BfEEBaaEE7";"250";"4";"4";"4";"yes";"2026-05-23 18:21:57";"2026-04-21 15:26:27";"2026-05-23 18:21:57";"no";"0x76d2d113bd1271f9fb039b11b15a2f8fd0a4ffba8f317ece92beb0deba542f29 | 0x4368a1b3c94f52db8a198c3104836f39d994903341189ad2ae83cdb16020ee22 | 0xa1ebb67a9213900586cc7a4caadabefae5adfcb448ccfb416749932dd617f750 | 0x80034a3877bc9cde322f68c37a0c91c12151d4fc8bedc9d09da94b8be6d59cd2"
"0xaB8EcB62D746cbe15A835652522cbAdf17fa0bfD";"1773";"1";"1";"1";"yes";"2026-05-28 23:38:31";"2026-05-28 23:38:31";"2026-05-28 23:38:31";"no";"0x917982c4f26bb2d83b067e28a6f487e80cb9fd3bc299044d8956ab9f3270c581"
"0xc55438DCCf35087Bb3Ec0049CE232ff086b66DA9";"27574";"1";"1";"1";"yes";"2026-05-30 08:14:09";"2026-05-30 08:14:09";"2026-05-30 08:14:09";"no";"0xa6e8ae77cf167a6cee071ad13472a6979e9edd8a2efda57af7e5ab506e116a5e"
"0x9edE732E4f1040F08E73CAECc2e3ed8A5c38F958";"31612";"1";"1";"1";"yes";"2026-05-30 08:31:21";"2026-05-30 08:31:21";"2026-05-30 08:31:21";"no";"0x9d36cda47c2ae5b23385fe899366ad1b1be3140599e02372b470c4e241eba435"
"0x8DA7212f71C1b5BfBe1Bb8647B324086e7d7D0d7";"30855";"1";"1";"1";"yes";"2026-05-30 08:48:03";"2026-05-30 08:48:03";"2026-05-30 08:48:03";"no";"0x8cb360a983b9d79a61d2c6809227ea1f5c77471d3b2026822cc97aa6e2bf88b7"
"0x24Cd1c145C7f944A4E3AD71C2F8917071b45a63F";"37806";"1";"1";"1";"yes";"2026-05-30 09:04:43";"2026-05-30 09:04:43";"2026-05-30 09:04:43";"no";"0x9e05573243dbd0b3966bb372ec742617860f0b790a8ef667e73c634d1364a7e9"
"0x7b21ef7D4bdba6Bb2B3931D1DaFd74594DF337E3";"35356";"1";"1";"1";"yes";"2026-05-30 09:24:11";"2026-05-30 09:24:11";"2026-05-30 09:24:11";"no";"0x3f51285cdcdc45890aea2f3c91f2017f92a1602afa15bf2a7fb8c86967663a40"
"0x82C1EFcE41f6dCB6Ac2A3aFA5f36bCd1Aa375a0f";"35464";"1";"1";"1";"yes";"2026-05-30 09:43:15";"2026-05-30 09:43:15";"2026-05-30 09:43:15";"no";"0x7bb09365320bab2f35e15668123aa09aeb5e877ebc7081c8dd20533d6171712e"
